Id,Latitude,Longitude,Zone,Franchisee
2040,40.773776,-73.977875,A,"Extenet Systems, INC. II"
2041,40.776081,-73.975917,A,"Extenet Systems, INC. II"
2042,40.779638,-73.973594,A,"Extenet Systems, INC. II"
2043,40.781973,-73.971604,A,"Extenet Systems, INC. II"
2044,40.785434,-73.969378,A,"Extenet Systems, INC. II"
2047,40.771674,-73.967511,A,"Extenet Systems, INC. II"
2048,40.769174,-73.969335,A,"Extenet Systems, INC. II"
2049,40.767917,-73.970242,A,"Extenet Systems, INC. II"
2064,40.77538,-73.987547,A,"Extenet Systems, INC. II"
2066,40.770328,-73.991191,A,"Extenet Systems, INC. II"
2069,40.764888,-73.976618,A,"Extenet Systems, INC. II"
2071,40.765377,-73.979954,A,"Extenet Systems, INC. II"
2072,40.764797,-73.972503,A,"Extenet Systems, INC. II"
2074,40.762139,-73.970064,A,"Extenet Systems, INC. II"
2075,40.765508,-73.976113,A,"Extenet Systems, INC. II"
2076,40.766722,-73.978975,A,"Extenet Systems, INC. II"
2077,40.763685,-73.971464,A,"Extenet Systems, INC. II"
2125,40.747638,-73.968785,A,"Extenet Systems, INC. II"
2127,40.745127,-73.971024,A,"Extenet Systems, INC. II"
2128,40.744329,-73.972962,A,"Extenet Systems, INC. II"
2129,40.740284,-73.973256,A,"Extenet Systems, INC. II"
2132,40.743061,-73.974201,A,"Extenet Systems, INC. II"
2133,40.743075,-73.972404,A,"Extenet Systems, INC. II"
2135,40.755627,-74.001927,A,"Extenet Systems, INC. II"
2136,40.758171,-74.000076,A,"Extenet Systems, INC. II"
2142,40.732955,-73.995952,A,"Extenet Systems, INC. II"
2143,40.730664,-73.99895,A,"Extenet Systems, INC. II"
2182,40.701571,-74.012396,A,"Extenet Systems, INC. II"
2183,40.702614,-74.012782,A,"Extenet Systems, INC. II"
2194,40.711619,-74.015637,A,"Extenet Systems, INC. II"
2345,40.732264,-73.998513,A,"Extenet Systems, INC. II"
2346,40.73065,-73.995551,A,"Extenet Systems, INC. II"
2347,40.729489,-73.994581,A,"Extenet Systems, INC. II"
2349,40.729104,-73.995779,A,"Extenet Systems, INC. II"
2350,40.727718,-73.994722,A,"Extenet Systems, INC. II"
2351,40.727024,-73.996663,A,"Extenet Systems, INC. II"
2455,40.798131,-73.953824,B,"Extenet Systems, INC. II"
2457,40.783695,-73.965215,A,"Extenet Systems, INC. II"
2489,40.778514,-73.967782,A,"Extenet Systems, INC. II"
4193,40.614379,-74.08214,B,Crown Castle NG East LLC
4194,40.621007,-74.165067,B,Crown Castle NG East LLC
4195,40.619574,-74.156933,B,Crown Castle NG East LLC
4196,40.613388,-74.148083,B,Crown Castle NG East LLC
4197,40.646161,-74.078114,B,Crown Castle NG East LLC
4198,40.757229,-73.76652,B,Crown Castle NG East LLC
4199,40.749285,-73.763422,B,Crown Castle NG East LLC
4200,40.608302,-74.099639,B,Crown Castle NG East LLC
4202,40.580389,-74.160959,B,Crown Castle NG East LLC
4203,40.754123,-73.827901,B,Crown Castle NG East LLC
4204,40.586746,-74.159157,B,Crown Castle NG East LLC
4205,40.741834,-73.823328,B,Crown Castle NG East LLC
4207,40.823173,-73.879932,B,Crown Castle NG East LLC
4208,40.770754,-73.82971,B,Crown Castle NG East LLC
4209,40.778685,-73.846184,B,Crown Castle NG East LLC
4210,40.793664,-73.82414,B,Crown Castle NG East LLC
4211,40.782684,-73.780509,B,Crown Castle NG East LLC
4212,40.778882,-73.782833,B,Crown Castle NG East LLC
4214,40.820289,-73.870356,B,Crown Castle NG East LLC
4215,40.781705,-73.783972,B,Crown Castle NG East LLC
4216,40.766993,-73.806799,B,Crown Castle NG East LLC
4217,40.823518,-73.864478,B,Crown Castle NG East LLC
4218,40.751833,-73.742003,B,Crown Castle NG East LLC
4220,40.827037,-73.871911,B,Crown Castle NG East LLC
4221,40.749871,-73.773782,B,Crown Castle NG East LLC
4222,40.824654,-73.836701,B,Crown Castle NG East LLC
4223,40.788116,-73.779098,B,Crown Castle NG East LLC
4224,40.77404,-73.801092,B,Crown Castle NG East LLC
4226,40.792877,-73.797721,B,Crown Castle NG East LLC
4227,40.794197,-73.799494,B,Crown Castle NG East LLC
4228,40.834565,-73.870986,B,Crown Castle NG East LLC
4230,40.793746,-73.795681,B,Crown Castle NG East LLC
4231,40.83784,-73.864601,B,Crown Castle NG East LLC
4232,40.7911,-73.800138,B,Crown Castle NG East LLC
4233,40.845458,-73.861531,B,Crown Castle NG East LLC
4234,40.791594,-73.795821,B,Crown Castle NG East LLC
4235,40.764204,-73.81693,B,Crown Castle NG East LLC
4236,40.834494,-73.852964,B,Crown Castle NG East LLC
4237,40.762833,-73.79809,B,Crown Castle NG East LLC
4238,40.763815,-73.808649,B,Crown Castle NG East LLC
4239,40.83776,-73.860036,B,Crown Castle NG East LLC
4240,40.760786,-73.825014,B,Crown Castle NG East LLC
4241,40.759246,-73.822997,B,Crown Castle NG East LLC
4242,40.835055,-73.858177,B,Crown Castle NG East LLC
4243,40.758954,-73.820593,B,Crown Castle NG East LLC
4244,40.763033,-73.83186,B,Crown Castle NG East LLC
4245,40.754279,-73.82341,B,Crown Castle NG East LLC
4246,40.838038,-73.869971,B,Crown Castle NG East LLC
4247,40.751672,-73.824334,B,Crown Castle NG East LLC
4248,40.754583,-73.821811,B,Crown Castle NG East LLC
4249,40.832233,-73.872143,B,Crown Castle NG East LLC
4250,40.757094,-73.826821,B,Crown Castle NG East LLC
4251,40.733472,-73.810577,B,Crown Castle NG East LLC
4253,40.746022,-73.751611,B,Crown Castle NG East LLC
4256,40.825305,-73.867466,B,Crown Castle NG East LLC
4257,40.757343,-73.733993,B,Crown Castle NG East LLC
4258,40.831559,-73.876162,B,Crown Castle NG East LLC
4259,40.758939,-73.735647,B,Crown Castle NG East LLC
4260,40.854428,-73.861151,B,Crown Castle NG East LLC
4261,40.853641,-73.866654,B,Crown Castle NG East LLC
4263,40.841266,-73.87008,B,Crown Castle NG East LLC
